iteration,iteration_started_at,sample_started_at,pair,pair_key,hops,src_node,dst_node,dst_ip,sample_number,success,time_module_delay_ms,ping_rtt_ms,packet_loss_pct
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.378718,R3-R2,r3_r2,1,r3,r2,10.0.23.1,5,True,35.395503,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.424981,R3-R2,r3_r2,1,r3,r2,10.0.23.1,6,True,32.224427,0.031,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.467463,R3-R2,r3_r2,1,r3,r2,10.0.23.1,7,True,41.807156,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.519919,R3-R2,r3_r2,1,r3,r2,10.0.23.1,8,True,33.966519,0.659,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.564858,R3-R2,r3_r2,1,r3,r2,10.0.23.1,9,True,28.398609,0.021,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.603773,R3-R2,r3_r2,1,r3,r2,10.0.23.1,10,True,30.248873,0.029,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.645091,R3-R2,r3_r2,1,r3,r2,10.0.23.1,11,True,28.865231,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.684409,R3-R2,r3_r2,1,r3,r2,10.0.23.1,12,True,25.321127,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.720070,R3-R2,r3_r2,1,r3,r2,10.0.23.1,13,True,24.842923,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.755003,R3-R2,r3_r2,1,r3,r2,10.0.23.1,14,True,29.187344,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.794270,R3-R2,r3_r2,1,r3,r2,10.0.23.1,15,True,32.419072,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.837020,R3-R2,r3_r2,1,r3,r2,10.0.23.1,16,True,29.795208,0.024,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.877151,R3-R2,r3_r2,1,r3,r2,10.0.23.1,17,True,32.601206,0.027,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.920589,R3-R2,r3_r2,1,r3,r2,10.0.23.1,18,True,29.605922,0.025,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:15.962756,R3-R2,r3_r2,1,r3,r2,10.0.23.1,19,True,36.703154,0.028,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.010209,R3-R2,r3_r2,1,r3,r2,10.0.23.1,20,True,51.955998,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.073190,R3-R2,r3_r2,1,r3,r2,10.0.23.1,21,True,27.373596,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.111801,R3-R2,r3_r2,1,r3,r2,10.0.23.1,22,True,37.823824,0.033,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.159983,R3-R2,r3_r2,1,r3,r2,10.0.23.1,23,True,24.734253,0.029,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.195447,R3-R2,r3_r2,1,r3,r2,10.0.23.1,24,True,39.035578,0.029,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.244767,R3-R2,r3_r2,1,r3,r2,10.0.23.1,25,True,30.800889,0.032,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.287406,R3-R2,r3_r2,1,r3,r2,10.0.23.1,26,True,27.56209,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.325791,R3-R2,r3_r2,1,r3,r2,10.0.23.1,27,True,51.647434,3.3,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.387866,R3-R2,r3_r2,1,r3,r2,10.0.23.1,28,True,31.035796,0.025,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.432138,R3-R2,r3_r2,1,r3,r2,10.0.23.1,29,True,51.093478,0.026,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.493554,R3-R2,r3_r2,1,r3,r2,10.0.23.1,30,True,33.221255,0.036,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.545578,R3-R2,r3_r2,1,r3,r2,10.0.23.1,31,True,31.209839,0.03,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.587287,R3-R2,r3_r2,1,r3,r2,10.0.23.1,32,True,33.54082,0.034,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.631559,R3-R2,r3_r2,1,r3,r2,10.0.23.1,33,True,31.904454,0.035,0.0
1,2026-04-24T14:05:10.725946,2026-04-24T14:05:16.674243,R3-R2,r3_r2,1,r3,r2,10.0.23.1,34,True,26.115726,0.026,0.0
